Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov
2015,1,Buenos Aires,4.32380370934677,1583135.0,1096836.0,134177.0,18754.0,28940.0,2861842.0,17.241393436944,56.3704843302674,8882.0,123588.88,2267851.56,220070.4,126958.44,1560.64,5700.0,0.0,2754611.92
2015,1,Capital Federal,4.99971168387637,454934.0,841743.0,19334.0,1994.0,14716.0,1332721.0,43.658724990074,114.896997148903,2545.0,59084.12,1013510.44,134150.6,114568.56,1195.36,8401.0,0.0,1333455.08
2015,1,Catamarca,3.48360366096299,25033.0,241.0,16.0,1.0,41.0,25332.0,6.40301699079434,25.1094663307876,13.0,7634.0,13754.0,3202.0,517.0,9.0,1.0,0.0,25130.0
2015,1,Chaco,4.89990879703037,54952.0,26161.0,164.0,27.0,56.0,81360.0,7.14308917535775,26.6495912203056,26.0,12053.0,47425.0,15883.0,5346.0,489.0,135.0,0.0,81357.0
2015,1,Chubut,3.2131565777598,45645.0,717.0,906.0,12540.0,5465.0,65273.0,11.5857987745568,37.6127806859079,651.0,6176.0,57333.0,102.0,0.0,0.0,0.0,0.0,64262.0
2015,1,Cordoba,4.30427928200685,343883.0,247564.0,415.0,4645.0,450.0,596957.0,16.7936219024859,54.6973465018821,157.0,78427.0,432802.0,46574.0,37443.0,1615.0,815.0,0.0,597833.0
2015,1,Corrientes,4.62819022139316,54649.0,25372.0,129.0,1319.0,62.0,81531.0,7.64256876399628,28.9501912819093,36.0,13295.0,47842.0,15554.0,4424.0,235.0,98.0,0.0,81484.0
2015,1,Entre Rios,4.34674650578663,112363.0,47411.0,108.0,5943.0,245.0,166070.0,12.6093360869829,42.0651933735121,2867.0,23951.0,104168.0,28113.0,6926.0,274.0,119.0,0.0,166418.0
2015,1,Formosa,3.38115011235955,21022.0,4951.0,1.0,670.0,56.0,26700.0,4.62384901660949,18.1227036739718,1891.0,7336.0,14413.0,2024.0,878.0,157.0,1.0,0.0,26700.0
2015,1,Jujuy,3.24190210859827,31505.0,5048.0,22.0,0.0,36.0,36611.0,5.05087991347104,19.6897136326236,2458.0,9754.0,19858.0,3939.0,603.0,0.0,0.0,0.0,36612.0
2015,1,La Pampa,2.83409951021787,13143.0,39571.0,3215.0,6164.0,604.0,62697.0,18.332348933632,55.5080323273377,6059.0,8054.0,45038.0,26.0,10.0,13.0,10.0,0.0,59210.0
